,fuel,Pc,eps,Cstar,MR,PcOvPe,subar,Tc,Tt,Te,Isp,gamma
0,C2H5OH,17.0,1.000878640376994,1098.8092676060419,0.75,1.678183613030602,3,1085.4603765925326,1030.853078183503,1027.691434819655,138.24378673489318,1.1364919675985004
1,C2H5OH,17.0,1.000878640376994,1098.8092676060419,0.75,1.678183613030602,2,1085.4603765925326,1030.853078183503,1027.691434819655,138.24378673489318,1.1364919675985004
2,C2H5OH,17.0,1.0010262766065068,1139.3997243161473,1.0,1.678183613030602,3,1140.0345676770082,1079.7684107170114,1076.0537705456682,143.50829685612533,1.144130983939125
3,C2H5OH,17.0,1.0010262766065068,1139.3997243161473,1.0,1.678183613030602,2,1140.0345676770082,1079.7684107170114,1076.0537705456682,143.50829685612533,1.144130983939125
4,C2H5OH,17.0,1.0011895179548522,1169.9812222067585,1.25,1.678183613030602,3,1197.5652343586364,1122.5744276122357,1118.1113794617788,147.7390132923686,1.1551585366806219
5,C2H5OH,17.0,1.0011895179548522,1169.9812222067585,1.25,1.678183613030602,2,1197.5652343586364,1122.5744276122357,1118.1113794617788,147.7390132923686,1.1551585366806219
6,C2H5OH,17.0,1.0033125322194945,1209.5722681884774,1.5,1.678183613030602,3,1344.1903967800522,1207.166797460227,1193.8211634225354,154.16950003550292,1.2271207580019325
7,C2H5OH,17.0,1.0033125322194945,1209.5722681884774,1.5,1.678183613030602,2,1344.1903967800522,1207.166797460227,1193.8211634225354,154.16950003550292,1.2271207580019325
8,C2H5OH,17.0,1.005520355298158,1284.1959733933763,1.75,1.678183613030602,3,1629.6652351706375,1423.0779741324818,1393.3055522948293,164.58568954756493,1.2913113039437085
9,C2H5OH,17.0,1.005520355298158,1284.1959733933763,1.75,1.678183613030602,2,1629.6652351706375,1423.0779741324818,1393.3055522948293,164.58568954756493,1.2913113039437085
10,C2H5OH,17.0,1.0051152058878707,1355.0981246147699,2.0,1.678183613030602,3,1893.702651051999,1661.9839458571955,1629.4851419724641,173.43415963239858,1.2815550556833455
11,C2H5OH,17.0,1.0051152058878707,1355.0981246147699,2.0,1.678183613030602,2,1893.702651051999,1661.9839458571955,1629.4851419724641,173.43415963239858,1.2815550556833455
12,C2H5OH,17.0,1.004701193357915,1409.4533481939475,2.25,1.678183613030602,3,2125.9196330861973,1875.7605207868723,1842.0613185963298,180.1388803937989,1.2706120096132192
13,C2H5OH,17.0,1.004701193357915,1409.4533481939475,2.25,1.678183613030602,2,2125.9196330861973,1875.7605207868723,1842.0613185963298,180.1388803937989,1.2706120096132192
14,C2H5OH,17.0,1.0043094888821062,1452.103882615727,2.5,1.678183613030602,3,2329.767182501661,2067.128881740701,2032.740885410171,185.3378140393756,1.2599454264144498
15,C2H5OH,17.0,1.0043094888821062,1452.103882615727,2.5,1.678183613030602,2,2329.767182501661,2067.128881740701,2032.740885410171,185.3378140393756,1.2599454264144498
16,C2H5OH,17.0,1.0039161025426009,1486.1897263165706,2.75,1.678183613030602,3,2507.306859622646,2238.4786954171113,2204.642837896291,189.4087765620781,1.2488858525110826
17,C2H5OH,17.0,1.0039161025426009,1486.1897263165706,2.75,1.678183613030602,2,2507.306859622646,2238.4786954171113,2204.642837896291,189.4087765620781,1.2488858525110826
18,C2H5OH,17.0,1.0035050991964578,1513.6951839602941,3.0,1.678183613030602,3,2659.7343914214102,2391.2876262283003,2358.8711580316917,192.60594014487674,1.2368738465778724
19,C2H5OH,17.0,1.0035050991964578,1513.6951839602941,3.0,1.678183613030602,2,2659.7343914214102,2391.2876262283003,2358.8711580316917,192.60594014487674,1.2368738465778724
20,C2H5OH,17.0,1.0030689470333964,1535.8687085952433,3.25,1.678183613030602,3,2787.6682608309984,2526.1915084836355,2496.181994274792,195.08400343633895,1.2234684707057406
21,C2H5OH,17.0,1.0030689470333964,1535.8687085952433,3.25,1.678183613030602,2,2787.6682608309984,2526.1915084836355,2496.181994274792,195.08400343633895,1.2234684707057406
22,C2H5OH,17.0,1.002609145623723,1553.4150993021335,3.5,1.678183613030602,3,2891.4132277919834,2642.991218198907,2616.316870973327,196.9367732172543,1.2084037776842191
23,C2H5OH,17.0,1.002609145623723,1553.4150993021335,3.5,1.678183613030602,2,2891.4132277919834,2642.991218198907,2616.316870973327,196.9367732172543,1.2084037776842191
24,C2H5OH,17.0,1.0021451626514852,1566.574322304193,3.75,1.678183613030602,3,2971.6379597863593,2740.64247310755,2717.959594991998,198.21514561455726,1.1919496668050658
25,C2H5OH,17.0,1.0021451626514852,1566.574322304193,3.75,1.678183613030602,2,2971.6379597863593,2740.64247310755,2717.959594991998,198.21514561455726,1.1919496668050658
26,C2H5OH,17.0,1.0017222153864498,1575.3017693877007,4.0,1.678183613030602,3,3030.259395241638,2817.8295742432383,2799.190799366149,198.955140984124,1.1755074967879169
27,C2H5OH,17.0,1.0017222153864498,1575.3017693877007,4.0,1.678183613030602,2,3030.259395241638,2817.8295742432383,2799.190799366149,198.955140984124,1.1755074967879169
28,C2H5OH,17.0,1.0013898582450953,1579.6954438665985,4.25,1.678183613030602,3,3070.627750187282,2874.428462664565,2859.165540729617,199.213982309169,1.1613184768925358
29,C2H5OH,17.0,1.0013898582450953,1579.6954438665985,4.25,1.678183613030602,2,3070.627750187282,2874.428462664565,2859.165540729617,199.213982309169,1.1613184768925358
30,C2H5OH,17.0,1.0011640416547956,1580.3411182496923,4.5,1.678183613030602,3,3096.738111236342,2912.6091951096923,2899.714934606691,199.08492984912644,1.1508669516210146
31,C2H5OH,17.0,1.0011640416547956,1580.3411182496923,4.5,1.678183613030602,2,3096.738111236342,2912.6091951096923,2899.714934606691,199.08492984912644,1.1508669516210146
32,C2H5OH,17.0,1.0010260279109129,1578.1718581013572,4.75,1.678183613030602,3,3112.2837193414325,2936.13406349843,2924.7133296390057,198.6768127317339,1.1440833440562803
33,C2H5OH,17.0,1.0010260279109129,1578.1718581013572,4.75,1.678183613030602,2,3112.2837193414325,2936.13406349843,2924.7133296390057,198.6768127317339,1.1440833440562803
34,C2H5OH,17.0,1.0009477612012008,1574.105287411108,5.0,1.678183613030602,3,3120.196787302042,2948.8769928160905,2938.2970074312775,198.08531978358113,1.1400801092426012
35,C2H5OH,17.0,1.0009477612012008,1574.105287411108,5.0,1.678183613030602,2,3120.196787302042,2948.8769928160905,2938.2970074312775,198.08531978358113,1.1400801092426012
36,C2H5OH,17.0,1.0009071405325018,1568.8464345449395,5.25,1.678183613030602,3,3122.62855802593,2953.9523093872676,2943.8143195966113,197.3810684572649,1.1379541587744868
37,C2H5OH,17.0,1.0009071405325018,1568.8464345449395,5.25,1.678183613030602,2,3122.62855802593,2953.9523093872676,2943.8143195966113,197.3810684572649,1.1379541587744868
38,C2H5OH,17.0,1.000890161418455,1562.875707693839,5.5,1.678183613030602,3,3121.105860405253,2953.6091804986872,2943.658637427453,196.6118240930897,1.1370527893917863
39,C2H5OH,17.0,1.000890161418455,1562.875707693839,5.5,1.678183613030602,2,3121.105860405253,2953.6091804986872,2943.658637427453,196.6118240930897,1.1370527893917863
40,C2H5OH,17.0,1.0008883570310154,1556.504325486848,5.75,1.678183613030602,3,3116.7045234924317,2949.4082850735776,2939.4842539570104,195.80839197478747,1.1369564027269907
41,C2H5OH,17.0,1.0008883570310154,1556.504325486848,5.75,1.678183613030602,2,3116.7045234924317,2949.4082850735776,2939.4842539570104,195.80839197478747,1.1369564027269907
42,C2H5OH,17.0,1.000896793609025,1549.9300742559265,6.0,1.678183613030602,3,3110.187246502486,2942.426340267849,2932.416259460842,194.99051692885038,1.1374037769566936
43,C2H5OH,17.0,1.000896793609025,1549.9300742559265,6.0,1.678183613030602,2,3110.187246502486,2942.426340267849,2932.416259460842,194.99051692885038,1.1374037769566936
44,C2H5OH,17.0,1.000912491636491,1543.2786168151633,6.25,1.678183613030602,3,3102.1013971989314,2933.4142097712124,2923.249492477119,194.1704932773257,1.1382318586595679
45,C2H5OH,17.0,1.000912491636491,1543.2786168151633,6.25,1.678183613030602,2,3102.1013971989314,2933.4142097712124,2923.249492477119,194.1704932773257,1.1382318586595679
46,C2H5OH,17.0,1.0009336000927314,1536.629783628957,6.5,1.678183613030602,3,3092.8458006568508,2922.9045802373194,2912.5208024808767,193.35645746631906,1.1393363110790535
47,C2H5OH,17.0,1.0009336000927314,1536.629783628957,6.5,1.678183613030602,2,3092.8458006568508,2922.9045802373194,2912.5208024808767,193.35645746631906,1.1393363110790535
48,C2H5OH,17.0,1.0009589268408419,1530.0343644150528,6.75,1.678183613030602,3,3082.715543813841,2911.2828322363484,2900.6446027834327,192.55310921261218,1.1406483602712283
49,C2H5OH,17.0,1.0009589268408419,1530.0343644150528,6.75,1.678183613030602,2,3082.715543813841,2911.2828322363484,2900.6446027834327,192.55310921261218,1.1406483602712283
50,C2H5OH,17.0,1.000987676008575,1523.5245690591912,7.0,1.678183613030602,3,3071.9321330443545,2898.8321387597152,2887.903870939805,191.76366062982765,1.1421208882062255
