fuel,Pc,eps,Cstar,MR,PcOvPe,subar,Tc,Tt,Te,Isp,gamma
propane,39.5,1.259691247563421,1568.2195261445986,4.75,3.8993089832181633,3,2750.6856664953766,2451.168444179979,2091.0959709494728,213.99353804758445,1.2684076021466348
propane,39.5,1.259691247563421,1568.2195261445986,4.75,3.8993089832181633,2,2750.6856664953766,2451.168444179979,2091.0959709494728,213.99353804758445,1.2684076021466348
methane,39.5,1.259083089088913,1641.9178996996588,4.75,3.8993089832181633,3,2726.72283800818,2429.548460206746,2071.6191150141835,224.02243837065075,1.270185660495714
methane,39.5,1.259083089088913,1641.9178996996588,4.75,3.8993089832181633,2,2726.72283800818,2429.548460206746,2071.6191150141835,224.02243837065075,1.270185660495714
C2H5OH,39.5,1.267542226923167,1513.92332214253,3.0,3.8993089832181633,3,2671.9580432500925,2394.875481558357,2056.835850920181,206.74123754367525,1.2508544950094258
C2H5OH,39.5,1.267542226923167,1513.92332214253,3.0,3.8993089832181633,2,2671.9580432500925,2394.875481558357,2056.835850920181,206.74123754367525,1.2508544950094258
propane,39.5,1.2562948569473278,1551.5969136692747,4.5,3.8993089832181633,3,2647.8220402490983,2348.780361331819,1996.967742409331,211.7106582266826,1.2752257642175042
propane,39.5,1.2562948569473278,1551.5969136692747,4.5,3.8993089832181633,2,2647.8220402490983,2348.780361331819,1996.967742409331,211.7106582266826,1.2752257642175042
methane,39.5,1.2558969015761523,1629.5156434902008,4.5,3.8993089832181633,3,2634.2038938542846,2337.2748415877127,1986.617440460836,222.3129783191619,1.2766121261429328
methane,39.5,1.2558969015761523,1629.5156434902008,4.5,3.8993089832181633,2,2634.2038938542846,2337.2748415877127,1986.617440460836,222.3129783191619,1.2766121261429328
propane,39.5,1.252900220701053,1532.2067662121476,4.25,3.8993089832181633,3,2534.4051413353027,2238.1493381356063,1896.6704127176329,209.05127008096417,1.2822893543639278
propane,39.5,1.252900220701053,1532.2067662121476,4.25,3.8993089832181633,2,2534.4051413353027,2238.1493381356063,1896.6704127176329,209.05127008096417,1.2822893543639278
methane,39.5,1.2527122166558315,1614.9380013677958,4.25,3.8993089832181633,3,2533.0689822114173,2238.1802396844323,1896.524080731751,220.30947910878865,1.283236301517531
methane,39.5,1.2527122166558315,1614.9380013677958,4.25,3.8993089832181633,2,2533.0689822114173,2238.1802396844323,1896.524080731751,220.30947910878865,1.283236301517531
C2H5OH,39.5,1.2633709248646372,1486.2076507050838,2.75,3.8993089832181633,3,2513.8292106448657,2240.061872117792,1915.844647700183,202.94677621588252,1.2588176658877612
C2H5OH,39.5,1.2633709248646372,1486.2076507050838,2.75,3.8993089832181633,2,2513.8292106448657,2240.061872117792,1915.844647700183,202.94677621588252,1.2588176658877612
methane,39.5,1.249484928813925,1597.7881822839663,4.0,3.8993089832181633,3,2422.7231042699154,2131.855223374707,1800.9443087995685,217.9551374010005,1.2901843141059974
methane,39.5,1.249484928813925,1597.7881822839663,4.0,3.8993089832181633,2,2422.7231042699154,2131.855223374707,1800.9443087995685,217.9551374010005,1.2901843141059974
propane,39.5,1.2494351506870434,1509.5080759146838,4.0,3.8993089832181633,3,2409.720443097293,2118.7219799407903,1789.6356967220145,205.9385757730311,1.2897903143974576
propane,39.5,1.2494351506870434,1509.5080759146838,4.0,3.8993089832181633,2,2409.720443097293,2118.7219799407903,1789.6356967220145,205.9385757730311,1.2897903143974576
C2H5OH,39.5,1.259283413915668,1452.0602850626583,2.5,3.8993089832181633,3,2332.6709965469927,2067.693620282645,1761.5502964402222,198.2672689053069,1.2669888424229734
C2H5OH,39.5,1.259283413915668,1452.0602850626583,2.5,3.8993089832181633,2,2332.6709965469927,2067.693620282645,1761.5502964402222,198.2672689053069,1.2669888424229734
methane,39.5,1.246151871365363,1577.54805341031,3.75,3.8993089832181633,3,2302.5350951653218,2017.824715964014,1699.4140094191748,215.1763942723105,1.29761304663764
methane,39.5,1.246151871365363,1577.54805341031,3.75,3.8993089832181633,2,2302.5350951653218,2017.824715964014,1699.4140094191748,215.1763942723105,1.29761304663764
propane,39.5,1.2457976104171116,1482.778194187808,3.75,3.8993089832181633,3,2272.949891340494,1989.7741266135235,1675.1748942341092,202.27075046830063,1.2979842989228938
propane,39.5,1.2457976104171116,1482.778194187808,3.75,3.8993089832181633,2,2272.949891340494,1989.7741266135235,1675.1748942341092,202.27075046830063,1.2979842989228938
methane,39.5,1.2426573011807245,1553.5279379839733,3.5,3.8993089832181633,3,2171.8297587485,1895.4921405140449,1591.4773827045697,211.8781031847508,1.30554734932152
methane,39.5,1.2426573011807245,1553.5279379839733,3.5,3.8993089832181633,2,2171.8297587485,1895.4921405140449,1591.4773827045697,211.8781031847508,1.30554734932152
C2H5OH,39.5,1.2551002033242122,1409.4188921414857,2.25,3.8993089832181633,3,2126.931712061258,1875.941188499596,1592.0856292970225,192.4215695042365,1.2755835596213263
C2H5OH,39.5,1.2551002033242122,1409.4188921414857,2.25,3.8993089832181633,2,2126.931712061258,1875.941188499596,1592.0856292970225,192.4215695042365,1.2755835596213263
propane,39.5,1.2419101931765086,1451.0321979303594,3.5,3.8993089832181633,3,2123.155977215376,1850.4576586517517,1552.65134369508,197.91333471279117,1.3068365189243925
propane,39.5,1.2419101931765086,1451.0321979303594,3.5,3.8993089832181633,2,2123.155977215376,1850.4576586517517,1552.65134369508,197.91333471279117,1.3068365189243925
methane,39.5,1.2393479146827968,1524.833175400918,3.25,3.8993089832181633,3,2029.9027168899436,1764.3575819589346,1477.6913479621148,207.95730414071124,1.3116879912605188
methane,39.5,1.2393479146827968,1524.833175400918,3.25,3.8993089832181633,2,2029.9027168899436,1764.3575819589346,1477.6913479621148,207.95730414071124,1.3116879912605188
propane,39.5,1.239263103334906,1413.0641596532537,3.25,3.8993089832181633,3,1959.4207251623932,1700.435390552666,1425.252830274008,192.7693321928449,1.3078554312549229
propane,39.5,1.239263103334906,1413.0641596532537,3.25,3.8993089832181633,2,1959.4207251623932,1700.435390552666,1425.252830274008,192.7693321928449,1.3078554312549229
C2H5OH,39.5,1.250926270204475,1355.110238601301,2.0,3.8993089832181633,3,1894.029833886368,1662.1877842896847,1405.6216861563316,184.9914192113915,1.2835510544607809
C2H5OH,39.5,1.250926270204475,1355.110238601301,2.0,3.8993089832181633,2,1894.029833886368,1662.1877842896847,1405.6216861563316,184.9914192113915,1.2835510544607809
methane,39.5,1.2416274999555972,1491.0543493302096,3.0,3.8993089832181633,3,1876.6975335601771,1626.6848076497754,1370.447746230378,203.59325002135972,1.2929410528044234
methane,39.5,1.2416274999555972,1491.0543493302096,3.0,3.8993089832181633,2,1876.6975335601771,1626.6848076497754,1370.447746230378,203.59325002135972,1.2929410528044234
propane,39.5,1.2507461217056075,1374.2720410635943,3.0,3.8993089832181633,3,1792.886755263305,1564.6333090378248,1335.670473699805,187.9267442512894,1.2621302681745177
propane,39.5,1.2507461217056075,1374.2720410635943,3.0,3.8993089832181633,2,1792.886755263305,1564.6333090378248,1335.670473699805,187.9267442512894,1.2621302681745177
methane,39.5,1.2559956756795976,1462.2440322825066,2.75,3.8993089832181633,3,1732.6661771955985,1518.3196712213053,1307.0459991720177,200.14762493675383,1.257002131118057
methane,39.5,1.2559956756795976,1462.2440322825066,2.75,3.8993089832181633,2,1732.6661771955985,1518.3196712213053,1307.0459991720177,200.14762493675383,1.257002131118057
propane,39.5,1.261575140517289,1352.4720125800677,2.75,3.8993089832181633,3,1705.6093782669514,1500.811722520587,1296.5737987532016,185.19606510331172,1.2413491888445916
propane,39.5,1.261575140517289,1352.4720125800677,2.75,3.8993089832181633,2,1705.6093782669514,1500.811722520587,1296.5737987532016,185.19606510331172,1.2413491888445916
methane,39.5,1.2651225251819689,1447.2035935511285,2.5,3.8993089832181633,3,1657.9786188999217,1464.099294692188,1272.5251406017094,198.2892783592665,1.2346974570835456
methane,39.5,1.2651225251819689,1447.2035935511285,2.5,3.8993089832181633,2,1657.9786188999217,1464.099294692188,1272.5251406017094,198.2892783592665,1.2346974570835456
C2H5OH,39.5,1.25734842966443,1285.3283644265694,1.75,3.8993089832181633,3,1630.7610460140645,1426.9615178164695,1220.2716849497835,175.86548479057217,1.2493386528564436
